frame,reason,priority,hint_u,hint_v,confidence
611,lowconf,2,1887.8,1735.7,0.556
612,miss,1,1952.3,1626.3,
613,miss,1,2015.0,1525.4,
615,lowconf,2,2085.0,1548.8,0.531
616,lowconf,2,2073.7,1533.7,0.524
618,miss,1,2177.6,1445.8,
638,lowconf,2,2310.0,1833.7,0.594
657,miss,1,2505.0,1960.2,
660,lowconf,2,2541.0,1983.7,0.567
666,lowconf,2,2598.8,1998.7,0.576
669,miss,1,2620.5,2009.7,
670,lowconf,2,2568.8,2006.3,0.597
671,lowconf,2,2558.1,2008.8,0.585
677,lowconf,2,2535.0,2002.5,0.58
682,lowconf,2,2432.5,2072.5,0.508
684,miss,1,2455.2,2041.1,
686,miss,1,2405.1,2096.2,
687,miss,1,2389.1,2109.8,
688,miss,1,2373.2,2123.3,
689,miss,1,2357.2,2136.9,
690,miss,1,2341.3,2150.5,
691,miss,1,2325.4,2164.0,
692,miss,1,2309.4,2177.6,
693,miss,1,2293.5,2191.2,
700,lowconf,2,2553.7,1466.2,0.507
701,lowconf,2,2565.0,1473.8,0.501
702,miss,1,2570.0,1419.3,
703,miss,1,2582.5,1373.3,
704,miss,1,2595.0,1327.3,
705,miss,1,2607.5,1281.3,
706,miss,1,2620.0,1235.4,
707,miss,1,2632.5,1189.4,
708,miss,1,2645.1,1143.4,
709,miss,1,2657.6,1097.4,
782,lowconf,2,2126.3,2126.2,0.568
783,miss,1,2126.3,2126.2,
784,lowconf,2,1875.0,1631.2,0.514
785,miss,1,1750.9,1386.8,
786,miss,1,1626.0,1140.7,
787,miss,1,1501.0,894.7,
788,lowconf,2,1762.5,1451.3,0.52
789,miss,1,1676.6,1286.3,
795,lowconf,2,1642.4,1406.2,0.537
798,lowconf,2,1587.2,1165.4,0.595
799,lowconf,2,1590.0,1209.1,0.579
800,lowconf,2,1583.4,1104.9,0.549
801,lowconf,2,1571.3,1117.5,0.568
803,lowconf,2,1557.4,1084.2,0.57
806,lowconf,2,1535.5,1049.4,0.596
807,lowconf,2,1539.4,1045.3,0.543
808,miss,1,1524.5,999.2,
809,miss,1,1518.7,982.6,
810,lowconf,2,1608.8,997.5,0.537
811,lowconf,2,1320.0,2124.4,0.521
812,miss,1,1443.9,1559.3,
813,lowconf,2,1676.9,984.2,0.586
814,miss,1,1563.8,1321.7,
815,lowconf,2,1741.6,980.0,0.599
816,miss,1,1686.4,1132.5,
817,lowconf,2,1833.7,1016.3,0.537
818,miss,1,1809.1,1039.4,
819,miss,1,1845.2,1013.2,
820,miss,1,1881.3,987.1,
821,miss,1,1917.5,961.0,
822,miss,1,1953.6,934.9,
823,lowconf,2,2192.2,1394.9,0.549
824,miss,1,2209.2,1322.7,
825,lowconf,2,2368.9,1639.1,0.593
826,miss,1,2396.3,1578.3,
827,miss,1,2463.7,1631.4,
828,miss,1,2531.0,1684.4,
830,lowconf,2,1421.6,1283.6,0.565
831,miss,1,1645.3,1402.3,
832,miss,1,1574.1,1399.0,
834,miss,1,1311.8,1289.2,
835,miss,1,1222.3,1270.2,
836,miss,1,1132.8,1251.2,
837,lowconf,2,1087.5,1218.7,0.516
838,miss,1,988.4,1202.7,
840,lowconf,2,933.7,1020.0,0.506
842,miss,1,811.4,998.3,
844,lowconf,2,1107.3,953.2,0.557
846,lowconf,2,1116.2,961.3,0.536
847,lowconf,2,1180.9,946.1,0.578
848,miss,1,1117.3,898.0,
849,miss,1,1137.7,878.1,
850,miss,1,1158.1,858.2,
851,miss,1,1178.5,838.3,
852,lowconf,2,1434.0,1076.3,0.551
859,lowconf,2,1550.0,1068.7,0.583
861,lowconf,2,1590.0,1086.0,0.563
862,miss,1,1638.4,1097.5,
863,lowconf,2,1676.3,1130.5,0.593
864,miss,1,1692.3,1123.5,
866,lowconf,2,1738.8,1133.2,0.562
869,miss,1,1786.1,1148.5,
870,miss,1,1806.6,1154.2,
871,lowconf,2,1834.5,1193.9,0.527
872,miss,1,1852.4,1187.4,
873,miss,1,1873.7,1196.6,
874,miss,1,1894.9,1205.9,
875,miss,1,1916.2,1215.1,
878,miss,1,1860.2,1128.4,
879,miss,1,1867.5,1124.4,
880,miss,1,1874.7,1120.4,
881,lowconf,2,1773.5,1122.6,0.587
882,miss,1,1804.6,1117.3,
883,lowconf,2,1696.0,1230.9,0.544
884,miss,1,1727.8,1186.4,
885,lowconf,2,1706.2,1233.8,0.535
887,lowconf,2,1688.4,1239.9,0.563
888,miss,1,1664.3,1262.9,
900,lowconf,2,1713.8,1278.7,0.531
901,lowconf,2,1710.7,1234.8,0.578
902,lowconf,2,1726.0,1213.2,0.564
903,miss,1,1720.9,1250.1,
908,miss,1,1736.3,1156.4,
909,miss,1,1739.6,1143.0,
919,miss,1,1710.8,1125.7,
920,lowconf,2,1706.3,1046.3,0.521
921,lowconf,2,1701.8,998.8,0.573
922,miss,1,1700.6,1034.4,
923,miss,1,1697.7,1020.1,
924,miss,1,1694.8,1005.7,
925,miss,1,1691.9,991.4,
926,miss,1,1689.0,977.0,
927,miss,1,1686.1,962.7,
928,miss,1,1683.2,948.3,
929,miss,1,1680.3,934.0,
930,lowconf,2,1528.4,573.8,0.58
931,miss,1,1527.4,563.9,
934,lowconf,2,1466.2,555.0,0.541
935,lowconf,2,1436.2,558.7,0.588
936,lowconf,2,1350.9,638.4,0.551
937,miss,1,1369.5,522.7,
938,miss,1,1344.4,508.0,
939,miss,1,1319.3,493.3,
940,miss,1,1294.2,478.7,
942,miss,1,1250.7,750.2,
944,miss,1,1192.5,958.3,
945,miss,1,1167.0,1006.7,
946,miss,1,1141.4,1055.1,
947,fp_isolated,1,1092.8,1650.0,0.542
948,miss,1,1072.3,1578.6,
949,miss,1,1044.3,1685.5,
950,miss,1,1016.2,1792.4,
951,miss,1,988.2,1899.3,
952,miss,1,960.2,2006.2,
953,miss,1,932.1,2113.1,
954,miss,1,904.1,2220.0,
955,miss,1,876.1,2326.8,
1057,lowconf,2,1860.0,1646.1,0.597
1058,lowconf,2,2087.5,1375.0,0.515
1060,miss,1,2184.6,1218.0,
1061,lowconf,2,2135.4,1326.4,0.556
1062,miss,1,2272.3,1128.4,
1063,miss,1,2352.9,1023.0,
1065,lowconf,2,2328.7,1211.3,0.583
1070,miss,1,2511.1,1137.3,
1071,miss,1,2547.8,1120.8,
1072,miss,1,2584.6,1104.4,
1073,miss,1,2621.3,1087.9,
1074,lowconf,2,2542.6,972.8,0.556
1075,lowconf,2,2552.1,956.8,0.548
1078,lowconf,2,2490.0,930.1,0.559
1080,miss,1,2538.6,886.1,
1081,miss,1,2539.1,867.0,
1082,miss,1,2539.6,847.8,
1084,lowconf,2,2257.5,1061.2,0.572
1086,lowconf,2,2252.0,1063.1,0.593
1087,lowconf,2,2187.6,1130.0,0.524
1091,miss,1,1964.1,1340.9,
1092,miss,1,1909.7,1391.1,
1098,miss,1,438.0,2169.7,
1099,miss,1,255.4,2275.7,
1100,miss,1,72.9,2381.6,
1101,miss,1,-109.7,2487.6,
1102,miss,1,-292.3,2593.6,
1103,miss,1,-474.9,2699.5,
1104,miss,1,-657.5,2805.5,
1105,miss,1,-840.1,2911.5,
1110,fp_isolated,1,2425.5,1095.8,0.591
1111,miss,1,2361.9,1135.0,
1112,miss,1,2527.2,1045.6,
1113,miss,1,2692.5,956.3,
1114,miss,1,2857.8,867.0,
1115,miss,1,3023.1,777.7,
1116,miss,1,3188.4,688.4,
1117,fp_isolated,1,2080.5,1408.5,0.523
1118,miss,1,2321.0,1271.3,
1119,miss,1,2357.4,1264.0,
1120,miss,1,2393.7,1256.7,
1121,miss,1,2430.0,1249.3,
1122,miss,1,2466.4,1242.0,
1123,miss,1,2502.7,1234.7,
1124,miss,1,2539.0,1227.4,
1125,miss,1,2575.3,1220.0,
1127,fp_isolated,1,2328.8,956.2,0.519
1128,miss,1,2363.9,948.0,
1129,miss,1,2371.8,918.5,
1130,miss,1,2379.7,889.0,
1131,miss,1,2387.6,859.5,
1132,miss,1,2395.5,829.9,
1133,miss,1,2403.4,800.4,
1134,miss,1,2411.3,770.9,
1135,miss,1,2419.2,741.4,
1181,fp_isolated,1,1886.3,2100.0,0.611
1182,miss,1,1886.3,2100.0,
1183,miss,1,1886.3,2100.0,
1184,miss,1,1886.3,2100.0,
1185,miss,1,1886.3,2100.0,
1186,miss,1,1886.3,2100.0,
1187,miss,1,1886.3,2100.0,
1188,miss,1,1886.3,2100.0,
1189,miss,1,1886.3,2100.0,
1294,lowconf,2,1940.9,1623.7,0.559
1295,miss,1,1788.1,1206.5,
1296,lowconf,2,1879.9,1440.9,0.545
1297,miss,1,1791.5,1195.1,
1298,miss,1,1722.5,1001.1,
1299,lowconf,2,1809.7,1308.2,0.549
1300,lowconf,2,1771.5,1278.1,0.53
1301,lowconf,2,1773.8,1278.8,0.556
1308,lowconf,2,1726.3,1156.2,0.595
1309,miss,1,1707.1,1176.0,
1310,miss,1,1698.3,1162.1,
1311,miss,1,1689.5,1148.1,
1312,miss,1,1680.7,1134.2,
1313,lowconf,2,1706.2,1012.6,0.541
1314,lowconf,2,1695.0,1008.7,0.542
1315,miss,1,1688.5,986.5,
1316,miss,1,1683.9,959.6,
1317,miss,1,1679.3,932.8,
1318,miss,1,1674.7,905.9,
1320,miss,1,1569.8,942.0,
1321,miss,1,1552.9,926.7,
1322,lowconf,2,1350.0,1119.6,0.567
1324,lowconf,2,1347.0,1126.5,0.535
1325,miss,1,1318.8,1103.1,
1327,lowconf,2,1179.0,1338.3,0.598
1329,lowconf,2,1095.0,1451.3,0.507
1330,miss,1,1048.4,1459.9,
1331,miss,1,1001.4,1510.9,
1332,lowconf,2,1177.5,1260.1,0.558
1337,lowconf,2,1218.8,1269.7,0.595
1338,miss,1,1195.0,1259.8,
1339,miss,1,1201.9,1252.5,
1340,miss,1,1208.8,1245.2,
1341,miss,1,1215.6,1237.9,
1342,miss,1,1222.5,1230.6,
1343,lowconf,2,1228.1,1009.6,0.562
1344,miss,1,1235.1,1026.3,
1345,miss,1,1241.9,994.9,
1346,lowconf,2,1264.7,850.3,0.562
1349,lowconf,2,1295.8,780.0,0.589
1352,lowconf,2,1345.5,733.5,0.543
1356,lowconf,2,1402.5,748.5,0.587
1358,miss,1,1425.5,717.9,
1359,lowconf,2,1463.4,794.0,0.566
1360,miss,1,1467.0,754.2,
1361,lowconf,2,1556.3,926.2,0.594
1362,miss,1,1545.4,866.5,
1364,lowconf,2,1697.8,1024.7,0.594
1374,lowconf,2,1804.9,1130.9,0.591
1375,miss,1,1831.5,1129.4,
1376,miss,1,1843.8,1142.4,
1377,miss,1,1856.0,1155.4,
1378,miss,1,1868.3,1168.5,
1379,lowconf,2,1826.3,960.1,0.544
1380,lowconf,2,1840.0,857.5,0.516
1382,lowconf,2,1843.2,798.2,0.575
1389,lowconf,2,1852.5,723.8,0.56
1390,lowconf,2,1852.6,710.3,0.536
1391,fp_static,1,1854.0,716.2,0.547
1392,lowconf,2,1859.3,724.9,0.567
1395,miss,1,1862.1,716.2,
1396,miss,1,1863.5,715.9,
1397,miss,1,1864.9,715.6,
1398,miss,1,1866.3,715.3,
1399,miss,1,1867.7,715.0,
1400,miss,1,1869.1,714.7,
1401,lowconf,2,1953.8,866.2,0.521
1402,lowconf,2,2010.9,920.0,0.553
1403,miss,1,1996.5,909.5,
1404,miss,1,2011.7,930.8,
1405,lowconf,2,2118.7,1102.5,0.51
1406,miss,1,2103.7,1074.1,
1407,miss,1,2127.8,1110.0,
1410,lowconf,2,2422.5,1848.8,0.588
1411,lowconf,2,2502.9,2096.2,0.594
1412,miss,1,2511.2,2051.5,
1413,miss,1,2566.7,2181.0,
1414,miss,1,2622.1,2310.5,
1415,lowconf,2,2135.6,975.0,0.522
1416,miss,1,2328.4,1475.5,
1417,lowconf,2,2488.2,2071.1,0.595
1418,miss,1,2432.6,1843.8,
1419,lowconf,2,2390.0,1814.2,0.572
1420,lowconf,2,2265.0,1582.5,0.546
1421,lowconf,2,2186.2,963.7,0.526
1422,miss,1,2269.2,1393.1,
1424,lowconf,2,2186.3,1484.8,0.555
1430,lowconf,2,2067.2,1450.9,0.58
1431,miss,1,2035.9,1422.5,
1433,miss,1,2000.8,1331.5,
1434,miss,1,1980.6,1312.7,
1436,miss,1,1976.4,1235.7,
1437,miss,1,1961.7,1211.0,
1438,miss,1,1947.1,1186.2,
1439,fp_isolated,1,1940.7,1067.5,0.593
1440,miss,1,1924.5,1060.2,
1441,miss,1,1910.8,1025.1,
1442,miss,1,1897.0,990.0,
1443,miss,1,1883.3,954.9,
1444,fp_isolated,1,1631.1,555.0,0.603
1445,miss,1,1645.0,562.2,
1446,miss,1,1605.4,487.6,
1447,miss,1,1565.9,413.0,
1448,miss,1,1526.3,338.4,
1449,fp_isolated,1,2120.0,1199.2,0.548
1450,miss,1,1996.5,1000.7,
1451,miss,1,2023.7,1024.7,
1452,miss,1,2050.9,1048.7,
1453,miss,1,2078.0,1072.6,
1454,miss,1,2105.2,1096.6,
1455,miss,1,2132.4,1120.6,
1456,miss,1,2159.5,1144.6,
1457,miss,1,2186.7,1168.6,
1497,miss,1,151.0,1707.5,
1505,lowconf,2,1164.1,1002.0,0.535
1506,miss,1,1307.1,863.4,
1507,miss,1,1413.3,796.4,
1508,miss,1,1519.4,729.3,
1510,lowconf,2,1536.7,1227.5,0.562
1512,lowconf,2,1751.3,1466.3,0.571
1516,miss,1,2193.7,1941.6,
1517,miss,1,2296.8,2055.6,
1518,miss,1,2399.9,2169.6,
1519,miss,1,2503.0,2283.6,
1520,miss,1,2606.1,2397.6,
1521,miss,1,2709.2,2511.6,
1522,miss,1,2812.3,2625.6,
1523,lowconf,2,1991.3,975.0,0.508
1524,lowconf,2,2008.1,979.3,0.595
1526,lowconf,2,2021.3,975.0,0.542
1527,miss,1,2020.8,846.2,
1528,miss,1,2012.6,766.7,
1529,miss,1,2004.5,687.2,
1530,fp_isolated,1,2055.0,956.3,0.51
1531,miss,1,2032.1,788.7,
1532,miss,1,2030.5,748.4,
1533,miss,1,2029.0,708.1,
1534,miss,1,2027.4,667.8,
1535,miss,1,2025.9,627.5,
1536,miss,1,2024.4,587.1,
1537,miss,1,2022.8,546.8,
1538,fp_isolated,1,2141.3,971.3,0.527
1539,miss,1,2136.4,918.0,
1540,miss,1,2146.5,922.9,
1541,miss,1,2156.6,927.8,
1542,miss,1,2166.8,932.7,
1543,miss,1,2176.9,937.6,
1544,miss,1,2187.0,942.5,
1545,miss,1,2197.2,947.4,
1546,miss,1,2207.3,952.3,
1610,fp_isolated,1,2511.2,1051.3,0.527
1611,miss,1,2511.2,1051.3,
1612,miss,1,2511.2,1051.3,
1613,miss,1,2511.2,1051.3,
1614,miss,1,2511.2,1051.3,
1615,miss,1,2511.2,1051.3,
1616,miss,1,2511.2,1051.3,
1617,miss,1,2511.2,1051.3,
1618,miss,1,2511.2,1051.3,
1646,lowconf,2,2529.6,1920.0,0.543
1647,lowconf,2,2352.5,1420.0,0.521
1648,lowconf,2,2172.0,921.1,0.525
1649,miss,1,1996.0,427.4,
1650,miss,1,1818.3,-69.2,
1651,miss,1,1640.6,-565.8,
1652,miss,1,1462.9,-1062.5,
1653,miss,1,1285.2,-1559.1,
1654,miss,1,1107.5,-2055.7,
1655,miss,1,929.8,-2552.3,
1656,miss,1,752.1,-3049.0,
1670,miss,1,1647.3,561.1,
1671,lowconf,2,1624.2,657.8,0.548
1672,miss,1,1612.8,705.6,
1673,lowconf,2,1612.5,750.0,0.592
1674,lowconf,2,1607.7,763.4,0.593
1675,miss,1,1597.5,819.2,
1676,miss,1,1589.6,861.1,
1677,miss,1,1581.8,903.0,
1678,miss,1,1573.9,944.8,
1679,miss,1,1566.1,986.7,
1680,miss,1,1558.3,1028.6,
1681,miss,1,1550.4,1070.4,
1682,miss,1,1542.6,1112.3,
1694,lowconf,2,1765.1,952.5,0.59
1695,lowconf,2,1781.2,941.2,0.516
1696,lowconf,2,1787.2,948.7,0.581
1697,lowconf,2,1793.5,953.4,0.546
1699,miss,1,1806.0,957.8,
1700,miss,1,1813.7,959.2,
1701,fp_static,1,1783.8,971.6,0.648
1704,lowconf,2,1770.1,978.7,0.549
1705,miss,1,1773.9,982.5,
1706,lowconf,2,1791.6,981.5,0.544
1707,miss,1,1781.3,986.5,
1708,miss,1,1781.5,989.3,
1709,lowconf,2,1815.7,979.8,0.564
1710,lowconf,2,1817.3,977.3,0.543
1711,lowconf,2,1821.6,981.6,0.542
1712,miss,1,1823.5,982.9,
1713,miss,1,1828.8,983.5,
1714,lowconf,2,1813.8,976.3,0.526
1716,lowconf,2,1793.0,976.3,0.595
1722,lowconf,2,1717.5,975.0,0.551
1723,miss,1,1715.2,969.5,
1724,miss,1,1703.5,969.0,
1725,miss,1,1691.8,968.5,
1726,lowconf,2,2116.8,857.5,0.59
1727,lowconf,2,2058.7,836.3,0.515
1728,miss,1,2073.2,844.4,
1729,lowconf,2,1951.1,846.8,0.589
1730,miss,1,2057.4,822.6,
1731,miss,1,2084.4,807.6,
1732,lowconf,2,1843.3,913.4,0.582
1733,miss,1,1945.9,864.3,
1734,lowconf,2,1792.5,970.0,0.561
1735,lowconf,2,1748.4,1037.5,0.562
1736,lowconf,2,1745.1,1049.4,0.592
1737,lowconf,2,1707.0,1114.0,0.598
1738,lowconf,2,1699.8,1149.1,0.58
1739,miss,1,1668.7,1146.9,
1740,lowconf,2,1661.3,1083.8,0.514
1741,lowconf,2,1647.6,1052.5,0.528
1742,miss,1,1607.5,1130.4,
1743,lowconf,2,1640.7,1012.5,0.535
1744,lowconf,2,1620.7,938.7,0.56
1745,lowconf,2,1619.2,942.5,0.54
1746,miss,1,1584.9,968.2,
1747,miss,1,1570.5,952.3,
1748,miss,1,1556.1,936.4,
1749,miss,1,1541.7,920.5,
1750,fp_isolated,1,1580.6,878.0,0.574
1751,miss,1,1557.8,866.3,
1752,miss,1,1549.5,847.4,
1753,miss,1,1541.1,828.5,
1754,miss,1,1532.7,809.5,
1755,miss,1,1524.4,790.6,
1756,miss,1,1516.0,771.7,
1757,miss,1,1507.7,752.8,
1758,miss,1,1499.3,733.9,
1760,lowconf,2,1495.1,1024.1,0.555
1761,lowconf,2,1485.9,1052.5,0.558
1763,miss,1,1472.5,1075.5,
1764,miss,1,1465.3,1091.7,
1780,lowconf,2,1368.7,1031.2,0.562
1804,fp_static,1,1240.5,1061.1,0.644
1805,lowconf,2,1233.7,1057.4,0.595
1809,fp_static,1,1220.5,1062.6,0.623
1810,lowconf,2,1215.8,1060.0,0.551
1811,miss,1,1210.4,1061.5,
1812,miss,1,1206.3,1061.8,
1813,miss,1,1202.3,1062.1,
1814,fp_static,1,1200.0,1053.8,0.505
1815,lowconf,2,1192.6,1046.3,0.574
1816,lowconf,2,1193.3,1045.0,0.549
1818,lowconf,2,1182.0,1046.9,0.591
1819,fp_static,1,1181.2,1046.2,0.515
1820,lowconf,2,1175.4,1046.3,0.576
1821,miss,1,1171.7,1042.6,
1822,lowconf,2,1164.7,1046.3,0.574
1823,lowconf,2,1163.2,1047.3,0.555
1824,lowconf,2,1162.5,1046.3,0.512
1825,lowconf,2,1160.6,1047.5,0.589
1829,lowconf,2,1143.8,1042.4,0.592
1831,miss,1,1219.3,993.3,
1835,miss,1,1532.4,1075.2,
1836,lowconf,2,1514.9,1059.0,0.568
1837,lowconf,2,1511.2,1027.5,0.593
1841,miss,1,1554.2,986.8,
1842,lowconf,2,1489.8,956.5,0.594
1843,miss,1,1534.7,957.2,
1844,miss,1,1538.9,946.3,
1845,lowconf,2,1599.0,897.0,0.516
1847,miss,1,1601.0,878.8,
1848,miss,1,1611.9,863.2,
1849,miss,1,1622.7,847.6,
1850,miss,1,1633.6,832.0,
1851,fp_isolated,1,1834.2,897.5,0.548
1852,miss,1,1813.9,868.5,
1853,miss,1,1845.6,861.8,
1854,miss,1,1877.3,855.1,
1856,miss,1,2085.5,1011.5,
1858,lowconf,2,2365.4,1304.5,0.596
1860,miss,1,2495.9,1388.9,
1861,miss,1,2573.3,1445.6,
1862,lowconf,2,2899.1,1981.1,0.591
1863,lowconf,2,2903.9,1973.8,0.571
1864,miss,1,3007.5,2045.9,
1865,miss,1,3113.2,2163.6,
1866,miss,1,3218.8,2281.3,
1867,miss,1,3324.5,2399.0,
1868,miss,1,3430.1,2516.7,
1869,miss,1,3535.8,2634.4,
1870,miss,1,3641.4,2752.1,
1871,miss,1,3747.1,2869.8,
