frame,visible,u,v
582,1,1638.0,1842.0
584,1,1638.0,1827.0
586,1,1620.0,1743.0
588,1,1611.0,1704.0
590,1,1605.0,1701.0
592,1,1587.0,1725.0
594,1,1593.0,1776.0
596,1,1569.0,1740.0
598,1,1551.0,1698.0
600,1,1536.0,1701.0
602,1,1524.0,1734.0
604,1,1506.0,1752.0
606,1,1488.0,1722.0
608,1,1470.0,1719.0
610,1,1464.0,1731.0
612,1,1443.0,1704.0
614,1,1434.0,1722.0
616,1,1422.0,1707.0
618,1,1401.0,1716.0
620,1,1395.0,1701.0
622,1,1383.0,1698.0
624,1,1362.0,1698.0
626,1,1359.0,1698.0
628,1,1344.0,1692.0
630,0,,
632,1,1353.0,1662.0
634,0,,
636,1,1380.0,1671.0
638,0,,
640,1,1413.0,1686.0
642,1,1413.0,1674.0
644,1,1419.0,1689.0
646,1,1485.0,1653.0
648,1,1560.0,1602.0
650,1,1623.0,1566.0
652,1,1695.0,1536.0
654,1,1746.0,1503.0
656,1,1806.0,1473.0
658,1,1860.0,1440.0
660,1,1920.0,1419.0
662,1,1962.0,1398.0
664,1,2007.0,1365.0
666,1,2055.0,1353.0
668,1,2094.0,1329.0
670,1,2130.0,1308.0
672,1,2175.0,1296.0
674,1,2208.0,1272.0
676,1,2238.0,1263.0
678,0,,
680,1,2256.0,1239.0
682,1,2217.0,1215.0
684,1,2181.0,1176.0
686,0,,
688,0,,
690,0,,
692,0,,
694,1,2142.0,1092.0
696,1,2121.0,1050.0
698,1,2082.0,1026.0
700,0,,
702,0,,
704,0,,
706,0,,
708,0,,
710,0,,
712,0,,
714,1,1773.0,966.0
716,0,,
718,1,1755.0,945.0
720,1,1755.0,933.0
722,1,1752.0,942.0
724,1,1743.0,963.0
726,1,1737.0,1008.0
728,1,1731.0,1086.0
730,1,1716.0,1161.0
732,1,1713.0,1215.0
734,1,1710.0,1140.0
736,1,1704.0,1101.0
738,1,1698.0,1074.0
740,1,1692.0,1068.0
742,1,1731.0,1071.0
744,1,1782.0,1092.0
746,1,1842.0,1137.0
748,1,1899.0,1218.0
750,1,1980.0,1353.0
752,1,2052.0,1542.0
754,1,2154.0,1800.0
756,1,2256.0,2136.0
758,0,,
760,0,,
762,0,,
764,0,,
766,0,,
768,0,,
770,0,,
772,0,,
774,1,2451.0,2151.0
776,1,2232.0,1818.0
778,1,2052.0,1536.0
780,1,1920.0,1374.0
782,1,1812.0,1251.0
784,1,1710.0,1203.0
786,1,1629.0,1188.0
788,1,1572.0,1197.0
790,1,1818.0,1356.0
792,1,2154.0,1608.0
794,1,2592.0,1971.0
796,0,,
798,0,,
800,0,,
802,0,,
804,0,,
806,0,,
808,0,,
810,0,,
812,0,,
814,0,,
816,0,,
818,0,,
820,0,,
822,0,,
824,0,,
826,0,,
828,0,,
830,0,,
832,0,,
834,0,,
836,0,,
838,0,,
840,0,,
842,0,,
844,0,,
846,0,,
848,0,,
850,0,,
852,0,,
854,0,,
856,0,,
858,0,,
860,0,,
862,0,,
864,0,,
866,0,,
868,0,,
870,0,,
872,0,,
874,0,,
876,0,,
878,0,,
880,0,,
882,0,,
884,1,2280.0,2154.0
886,1,2301.0,1719.0
888,1,2322.0,1353.0
890,1,2322.0,1062.0
892,1,2331.0,843.0
894,1,2322.0,699.0
896,1,2334.0,627.0
898,1,2325.0,573.0
900,1,2325.0,567.0
902,1,2319.0,606.0
904,1,2322.0,654.0
906,1,2316.0,732.0
908,1,2316.0,834.0
910,1,2310.0,951.0
912,1,2298.0,1074.0
914,0,,
916,0,,
918,0,,
920,1,2301.0,1029.0
922,1,2298.0,945.0
924,1,2301.0,864.0
926,1,2304.0,831.0
928,1,2295.0,801.0
930,1,2298.0,792.0
932,1,2304.0,828.0
934,1,2298.0,855.0
936,1,2295.0,921.0
938,1,2286.0,990.0
940,1,2283.0,1074.0
942,1,2280.0,1068.0
944,1,2289.0,990.0
946,1,2295.0,939.0
948,1,2301.0,903.0
950,1,2313.0,897.0
952,1,2313.0,900.0
954,1,2313.0,921.0
956,0,,
958,0,,
960,0,,
962,0,,
964,0,,
966,0,,
968,0,,
970,0,,
972,1,2424.0,978.0
974,1,2454.0,993.0
976,1,2445.0,1008.0
978,1,2421.0,1011.0
980,1,2397.0,1002.0
982,1,2373.0,975.0
984,1,2349.0,960.0
986,1,2355.0,942.0
988,1,2334.0,918.0
990,1,2331.0,930.0
992,1,2334.0,909.0
994,1,2313.0,906.0
996,1,2301.0,921.0
998,1,2298.0,945.0
1000,1,2286.0,1005.0
1002,1,2274.0,1083.0
1004,1,2256.0,1167.0
1006,1,2253.0,1167.0
1008,1,2253.0,1122.0
1010,1,2247.0,1071.0
1012,1,2238.0,1056.0
1014,1,2202.0,1059.0
1016,1,2109.0,1065.0
1018,1,2007.0,1122.0
1020,1,1887.0,1209.0
1022,1,1728.0,1356.0
1024,1,1545.0,1551.0
1026,1,1317.0,1842.0
1028,0,,
1030,0,,
1032,0,,
1034,0,,
1036,0,,
1038,0,,
1040,0,,
1042,0,,
1044,1,720.0,1980.0
1046,1,1101.0,1587.0
1048,1,1431.0,1332.0
1050,1,1641.0,1161.0
1052,1,1821.0,1056.0
1054,1,2091.0,1089.0
1056,1,2343.0,1152.0
1058,1,2556.0,1230.0
1060,1,2754.0,1323.0
1062,1,2922.0,1431.0
1064,1,3027.0,1359.0
1066,1,3132.0,1275.0
1068,1,3126.0,1293.0
1070,1,3036.0,1383.0
1072,1,2976.0,1461.0
1074,1,2943.0,1395.0
1076,1,2910.0,1362.0
1078,1,2868.0,1326.0
1080,1,2850.0,1350.0
1082,1,2811.0,1392.0
1084,1,2775.0,1437.0
1086,1,2730.0,1473.0
1088,1,2694.0,1440.0
1090,1,2640.0,1416.0
1092,1,2610.0,1434.0
1094,1,2565.0,1476.0
1096,1,2520.0,1515.0
1098,1,2475.0,1488.0
1100,1,2424.0,1476.0
1102,1,2388.0,1518.0
1104,1,2355.0,1533.0
1106,1,2316.0,1518.0
1108,1,2280.0,1533.0
1110,1,2232.0,1548.0
1112,1,2196.0,1530.0
1114,1,2160.0,1560.0
1116,1,2121.0,1542.0
1118,1,2094.0,1575.0
1120,1,2052.0,1575.0
1122,1,2019.0,1575.0
1124,0,,
1126,1,1932.0,1584.0
1128,1,1890.0,1596.0
1130,1,1896.0,1599.0
1132,0,,
1134,1,1884.0,1527.0
1136,1,1869.0,1437.0
1138,1,1884.0,1386.0
1140,0,,
1142,0,,
1144,0,,
1146,0,,
1148,0,,
1150,0,,
1152,0,,
1154,0,,
1156,0,,
1158,0,,
1160,0,,
1162,0,,
1164,0,,
1166,0,,
1168,0,,
1170,0,,
1172,0,,
1174,0,,
1176,0,,
1178,0,,
1180,0,,
1182,0,,
1184,0,,
1186,0,,
1188,0,,
1190,0,,
1192,0,,
1194,0,,
1196,0,,
1198,0,,
1200,0,,
1202,0,,
1204,0,,
1206,0,,
1208,0,,
1210,0,,
1212,0,,
1214,1,1860.0,1005.0
1216,1,1842.0,987.0
1218,1,1833.0,1002.0
1220,1,1839.0,1008.0
1222,0,,
1224,1,1815.0,999.0
1226,1,1788.0,969.0
1228,1,1782.0,954.0
1230,1,1767.0,945.0
1232,1,1770.0,936.0
1234,1,1755.0,945.0
1236,1,1758.0,984.0
1238,1,1746.0,1020.0
1240,1,1743.0,1077.0
1242,1,1743.0,1167.0
1244,1,1740.0,1182.0
1246,1,1737.0,1107.0
1248,1,1728.0,1059.0
1250,1,1740.0,1050.0
1252,1,1737.0,1056.0
1254,1,1779.0,1068.0
1256,1,1821.0,1110.0
1258,1,1860.0,1182.0
1260,1,1917.0,1296.0
1262,1,1971.0,1476.0
1264,1,2031.0,1731.0
1266,1,2097.0,2085.0
1268,0,,
1270,0,,
1272,0,,
1274,0,,
1276,0,,
1278,0,,
1280,1,2529.0,2067.0
1282,1,2532.0,1734.0
1284,1,2544.0,1500.0
1286,1,2550.0,1341.0
1288,1,2547.0,1251.0
1290,1,2544.0,1224.0
1292,1,2634.0,1317.0
1294,1,2802.0,1563.0
1296,1,2988.0,1896.0
1298,0,,
1300,0,,
1302,0,,
1304,0,,
1306,0,,
1308,0,,
1310,1,3486.0,2055.0
1312,1,3207.0,1662.0
1314,1,2985.0,1392.0
1316,1,2763.0,1182.0
1318,1,2589.0,1056.0
1320,1,2433.0,975.0
1322,1,2301.0,954.0
1324,1,2178.0,954.0
1326,1,2103.0,1002.0
1328,1,2109.0,1200.0
1330,1,2118.0,1500.0
1332,1,2121.0,1941.0
1334,0,,
1336,0,,
1338,0,,
1340,0,,
1342,0,,
1344,0,,
1346,0,,
1348,0,,
1350,0,,
1352,0,,
1354,0,,
1356,0,,
1358,0,,
1360,0,,
1362,1,1731.0,1950.0
1364,1,1677.0,1584.0
1366,1,1650.0,1383.0
1368,1,1632.0,1260.0
1370,1,1605.0,1209.0
1372,1,1593.0,1191.0
1374,1,1596.0,1194.0
1376,1,1578.0,1233.0
1378,1,1590.0,1233.0
1380,1,1593.0,1260.0
1382,1,1578.0,1296.0
1384,1,1593.0,1377.0
1386,1,1596.0,1488.0
1388,1,1614.0,1686.0
1390,1,1623.0,1935.0
1392,0,,
1394,0,,
1396,0,,
1398,0,,
1400,0,,
1402,1,1857.0,1869.0
1404,1,2001.0,1440.0
1406,1,2130.0,1071.0
1408,1,2262.0,816.0
1410,1,2370.0,603.0
1412,1,2454.0,459.0
1414,1,2544.0,369.0
1416,1,2610.0,324.0
1418,1,2682.0,309.0
1420,1,2733.0,324.0
1422,1,2796.0,387.0
1424,1,2838.0,462.0
1426,1,2874.0,552.0
1428,1,2907.0,663.0
1430,1,2940.0,792.0
1432,1,2976.0,954.0
1434,1,3006.0,1101.0
1436,1,3018.0,1263.0
1438,1,3030.0,1281.0
1440,1,3063.0,1158.0
1442,1,3057.0,1074.0
1444,1,3036.0,1023.0
1446,1,3012.0,999.0
1448,1,2991.0,975.0
1450,1,2955.0,990.0
1452,1,2940.0,1035.0
1454,1,2916.0,1083.0
1456,1,2907.0,1038.0
1458,1,2904.0,1023.0
1460,1,2904.0,1035.0
1462,1,2901.0,1083.0
1464,1,2886.0,1164.0
1466,1,2871.0,1320.0
1468,1,2823.0,1533.0
1470,1,2469.0,1437.0
1472,1,2172.0,1371.0
1474,1,1950.0,1362.0
1476,1,1767.0,1374.0
1478,1,1620.0,1416.0
1480,1,1524.0,1365.0
1482,1,1464.0,1242.0
1484,1,1407.0,1158.0
1486,1,1356.0,1095.0
1488,1,1296.0,1062.0
1490,1,1257.0,1059.0
1492,1,1209.0,1071.0
1494,1,1203.0,1089.0
1496,1,1170.0,1137.0
1498,1,1128.0,1077.0
1500,1,1101.0,1029.0
1502,1,1065.0,987.0
1504,1,1023.0,969.0
1506,1,981.0,960.0
1508,1,933.0,975.0
1510,1,939.0,999.0
1512,1,948.0,1041.0
1514,1,951.0,1098.0
1516,1,966.0,1182.0
1518,1,966.0,1176.0
1520,1,981.0,1140.0
1522,1,966.0,1122.0
1524,1,993.0,1182.0
1526,1,1002.0,1176.0
1528,1,996.0,1125.0
1530,1,996.0,1083.0
1532,1,996.0,1059.0
1534,1,996.0,1062.0
1536,1,984.0,1044.0
1538,1,1005.0,1032.0
1540,1,1038.0,1059.0
1542,0,,
1544,0,,
1546,0,,
1548,0,,
1550,0,,
1552,0,,
1554,0,,
1556,0,,
1558,0,,
1560,1,1149.0,966.0
1562,0,,
1564,1,1167.0,978.0
1566,1,1164.0,966.0
1568,0,,
1570,1,1182.0,987.0
1572,1,1206.0,978.0
1574,1,1215.0,996.0
1576,1,1245.0,999.0
1578,0,,
1580,0,,
1582,0,,
1584,0,,
1586,0,,
1588,0,,
1590,0,,
1592,1,1416.0,1107.0
1594,1,1419.0,1128.0
1596,1,1449.0,1125.0
1598,1,1491.0,1089.0
1600,1,1497.0,1065.0
1602,1,1530.0,1029.0
1604,1,1560.0,1050.0
1606,1,1593.0,1083.0
1608,1,1623.0,972.0
1610,1,1659.0,849.0
1612,1,1701.0,738.0
1614,1,1749.0,636.0
1616,1,1800.0,558.0
1618,1,1860.0,498.0
1620,1,1917.0,468.0
1622,1,2013.0,486.0
1624,1,2097.0,555.0
1626,1,2205.0,678.0
1628,1,2367.0,912.0
1630,1,2514.0,1284.0
1632,1,2718.0,1821.0
1634,0,,
1636,0,,
1638,0,,
1640,0,,
1642,0,,
1644,0,,
1646,0,,
1648,0,,
1650,0,,
1652,0,,
1654,0,,
1656,0,,
1658,0,,
1660,0,,
1662,0,,
1664,0,,
1666,0,,
1668,0,,
1670,0,,
1672,0,,
1674,1,1356.0,678.0
1676,1,1449.0,804.0
1678,1,1443.0,774.0
1680,1,1473.0,741.0
1682,1,1506.0,720.0
1684,1,1542.0,711.0
1686,1,1590.0,735.0
1688,1,1641.0,798.0
1690,1,1713.0,903.0
1692,1,1800.0,1065.0
1694,1,1896.0,1305.0
1696,1,2001.0,1662.0
1698,1,2139.0,2115.0
1700,0,,
1702,0,,
1704,0,,
1706,0,,
1708,0,,
1710,0,,
1712,0,,
1714,0,,
1716,0,,
1718,0,,
1720,0,,
1722,0,,
1724,0,,
1726,0,,
1728,0,,
1730,0,,
1732,0,,
1734,0,,
1736,0,,
1738,0,,
1740,0,,
1742,0,,
1744,0,,
1746,0,,
1748,0,,
1750,0,,
1752,0,,
1754,0,,
1756,0,,
1758,0,,
1760,0,,
1762,0,,
1764,0,,
1766,0,,
1768,0,,
1770,0,,
1772,0,,
1774,0,,
1776,0,,
1778,0,,
1780,0,,
1782,0,,
1784,0,,
1786,0,,
1788,0,,
1790,0,,
1792,0,,
1794,0,,
1796,0,,
1798,0,,
1800,0,,
1802,0,,
1804,0,,
1806,0,,
1808,0,,
1810,0,,
1812,1,2433.0,2103.0
1814,1,2139.0,1680.0
1816,1,1923.0,1407.0
1818,1,1776.0,1248.0
1820,1,1644.0,1143.0
1822,1,1551.0,1092.0
1824,1,1488.0,1092.0
1826,1,1416.0,1098.0
1828,1,1362.0,1122.0
1830,1,1326.0,1176.0
1832,1,1293.0,1242.0
1834,1,1278.0,1140.0
1836,1,1257.0,1041.0
1838,1,1242.0,975.0
1840,1,1236.0,924.0
1842,1,1242.0,816.0
1844,1,1251.0,663.0
1846,1,1275.0,525.0
1848,1,1290.0,378.0
1850,1,1314.0,243.0
1852,1,1344.0,126.0
1854,1,1377.0,9.0
1856,0,,
1858,0,,
1860,0,,
1862,0,,
1864,0,,
1866,0,,
1868,1,1833.0,12.0
1870,1,1968.0,264.0
1872,1,2190.0,726.0
1874,1,2448.0,1473.0
1876,0,,
1878,0,,
1880,0,,
1882,0,,
1884,0,,
1886,0,,
1888,0,,
1890,0,,
1892,0,,
1894,0,,
1896,0,,
1898,0,,
1900,0,,
1902,0,,
1904,0,,
1906,0,,
1908,0,,
1910,0,,
1912,0,,
1914,0,,
1916,0,,
1918,0,,
1920,1,2655.0,2121.0
1922,1,2652.0,1992.0
1924,1,2625.0,1905.0
1926,1,2607.0,1857.0
1928,1,2598.0,1851.0
1930,1,2574.0,1869.0
1932,1,2562.0,1833.0
1934,1,2565.0,1770.0
1936,1,2583.0,1737.0
1938,1,2583.0,1794.0
1940,1,2583.0,1818.0
1942,1,2574.0,1866.0
1944,1,2574.0,1830.0
1946,1,2574.0,1809.0
1948,1,2571.0,1833.0
1950,1,2580.0,1881.0
1952,1,2565.0,1854.0
1954,1,2565.0,1854.0
1956,1,2571.0,1890.0
1958,1,2553.0,1890.0
1960,1,2571.0,1893.0
1962,1,2571.0,1899.0
1964,1,2571.0,1908.0
1966,1,2565.0,1923.0
1968,1,2565.0,1935.0
1970,1,2574.0,1932.0
1972,1,2565.0,1947.0
1974,1,2574.0,1947.0
1976,1,2574.0,1947.0
1978,1,2583.0,1947.0
1980,1,2574.0,1947.0
1982,1,2574.0,1947.0
1984,1,2583.0,1953.0
1986,1,2583.0,1953.0
1988,1,2589.0,1947.0
1990,1,2583.0,1941.0
1992,1,2583.0,1941.0
1994,1,2583.0,1941.0
1996,1,2583.0,1941.0
1998,1,2583.0,1941.0
2000,1,2583.0,1941.0
2002,1,2583.0,1941.0
2004,1,2583.0,1941.0
2006,1,2589.0,1947.0
2008,1,2589.0,1947.0
2010,1,2574.0,1950.0
2012,1,2583.0,1953.0
2014,1,2583.0,1950.0
2016,1,2592.0,1941.0
2018,1,2589.0,1941.0
2020,1,2589.0,1941.0
2022,1,2589.0,1941.0
2024,1,2589.0,1941.0
2026,1,2589.0,1941.0
2028,1,2589.0,1941.0
2030,1,2589.0,1941.0
2032,1,2589.0,1941.0
2034,1,2589.0,1941.0
2036,1,2589.0,1941.0
2038,1,2589.0,1941.0
2040,1,2589.0,1941.0
2042,1,2589.0,1941.0
2044,1,2589.0,1941.0
2046,1,2589.0,1941.0
2048,1,2589.0,1941.0
2050,1,2586.0,1941.0
2052,1,2586.0,1941.0
2054,1,2586.0,1941.0
2056,1,2586.0,1941.0
2058,1,2586.0,1941.0
2060,1,2586.0,1941.0
2062,1,2586.0,1941.0
2064,1,2586.0,1941.0
2066,1,2586.0,1941.0
2068,1,2586.0,1941.0
2070,1,2586.0,1941.0
2072,1,2586.0,1941.0
2074,1,2586.0,1941.0
2076,1,2586.0,1941.0
2078,1,2586.0,1941.0
2080,1,2586.0,1941.0
2082,1,2586.0,1941.0
2084,1,2586.0,1941.0
2086,1,2586.0,1941.0
2088,1,2586.0,1941.0
2090,1,2586.0,1941.0
2092,1,2586.0,1941.0
2094,1,2586.0,1941.0
2096,1,2586.0,1941.0
2098,1,2586.0,1941.0
2100,1,2586.0,1941.0
2102,1,2586.0,1941.0
2104,1,2586.0,1941.0
2106,1,2586.0,1941.0
2108,1,2586.0,1941.0
2110,1,2586.0,1941.0
2112,1,2586.0,1941.0
2114,1,2586.0,1941.0
2116,1,2586.0,1941.0
2118,1,2586.0,1941.0
2120,1,2586.0,1941.0
2122,1,2586.0,1941.0
2124,1,2586.0,1941.0
2126,1,2586.0,1941.0
2128,0,,
2130,1,1833.0,1950.0
2132,1,1977.0,1770.0
2134,1,2103.0,1659.0
2136,1,2172.0,1638.0
2138,1,2220.0,1761.0
2140,1,2271.0,1887.0
2142,1,2301.0,1830.0
2144,1,2334.0,1785.0
2146,1,2358.0,1752.0
2148,1,2385.0,1782.0
2150,1,2412.0,1836.0
2152,1,2433.0,1905.0
2154,1,2448.0,2019.0
2156,1,2481.0,1995.0
2158,1,2490.0,1959.0
2160,1,2526.0,1965.0
2162,0,,
2164,0,,
2166,0,,
2168,0,,
2170,0,,
2172,0,,
2174,0,,
2176,0,,
2178,0,,
2180,0,,
2182,0,,
2184,0,,
2186,0,,
2188,0,,
2190,0,,
2192,0,,
2194,0,,
2196,0,,
2198,0,,
2200,0,,
2202,0,,
2204,0,,
2206,0,,
2208,0,,
2210,0,,
2212,0,,
2214,0,,
2216,0,,
2218,0,,
2220,0,,
2222,0,,
2224,0,,
2226,0,,
2228,0,,
2230,0,,
2232,1,1854.0,1755.0
2234,1,1818.0,1833.0
2236,1,1779.0,1929.0
2238,0,,
2240,0,,
2242,0,,
2244,0,,
2246,1,1719.0,1803.0
2248,1,1704.0,1890.0
2250,1,1698.0,1914.0
2252,1,1692.0,1914.0
2254,1,1656.0,1893.0
2256,1,1635.0,1917.0
2258,1,1620.0,1929.0
2260,1,1602.0,1947.0
2262,1,1578.0,1956.0
2264,0,,
2266,0,,
2268,0,,
2270,0,,
2272,0,,
2274,0,,
2276,0,,
2278,0,,
2280,1,1596.0,1920.0
2282,1,1587.0,1902.0
2284,1,1587.0,1899.0
2286,1,1578.0,1875.0
2288,0,,
2290,0,,
2292,0,,
2294,0,,
2296,0,,
2298,0,,
2300,0,,
2302,0,,
2304,0,,
2306,0,,
2308,0,,
2310,0,,
2312,0,,
2314,0,,
2316,0,,
2318,0,,
2320,0,,
2322,0,,
2324,0,,
2326,0,,
2328,0,,
2330,1,1785.0,2130.0
2332,1,1968.0,1791.0
2334,1,2112.0,1581.0
2336,1,2220.0,1428.0
2338,1,2307.0,1338.0
2340,1,2370.0,1320.0
2342,1,2415.0,1326.0
2344,1,2454.0,1359.0
2346,1,2478.0,1404.0
2348,1,2496.0,1266.0
2350,1,2505.0,1161.0
2352,1,2529.0,1086.0
2354,1,2535.0,1044.0
2356,1,2538.0,1023.0
2358,1,2544.0,1011.0
2360,1,2538.0,969.0
2362,1,2490.0,807.0
2364,1,2442.0,642.0
2366,1,2373.0,468.0
2368,1,2298.0,333.0
2370,1,2214.0,189.0
2372,1,2112.0,60.0
2374,0,,
2376,0,,
2378,0,,
2380,0,,
2382,0,,
2384,0,,
2386,0,,
2388,1,468.0,90.0
2390,1,48.0,441.0
2392,0,,
2394,0,,
2396,0,,
2398,0,,
2400,0,,
2402,0,,
2404,0,,
2406,0,,
2408,0,,
2410,0,,
2412,0,,
2414,0,,
2416,0,,
2418,0,,
2420,0,,
2422,0,,
2424,0,,
2426,0,,
2428,0,,
2430,0,,
2432,0,,
2434,0,,
2436,0,,
2438,1,414.0,2157.0
2440,1,474.0,2004.0
2442,1,534.0,1893.0
2444,1,606.0,1821.0
2446,1,666.0,1776.0
2448,1,723.0,1776.0
2450,1,789.0,1782.0
2452,1,834.0,1791.0
2454,1,855.0,1785.0
2456,1,891.0,1821.0
2458,1,921.0,1863.0
2460,1,927.0,1875.0
2462,1,927.0,1887.0
2464,1,939.0,1905.0
2466,1,963.0,1917.0
2468,1,975.0,1938.0
2470,1,990.0,1947.0
2472,1,990.0,1959.0
2474,1,993.0,1980.0
2476,1,999.0,1980.0
2478,1,1005.0,1992.0
2480,1,1017.0,2004.0
2482,1,1023.0,2022.0
2484,1,1035.0,2037.0
2486,1,1053.0,2064.0
2488,1,1056.0,2070.0
2490,1,1065.0,2091.0
2492,1,1059.0,2082.0
2494,1,1068.0,2091.0
2496,1,1071.0,2100.0
2498,1,1086.0,2124.0
